"","country","year","service","subservice","equipment_type","equipment_subtype","equipment_name","equipment_subname","unit_name","unit_count"
"281","taiwan","1991","air force",NA,"aircraft",NA,"TRG",NA,"AT-3A/B Tzu-Chung","60"
"282","taiwan","1991","air force",NA,"aircraft",NA,"TRG",NA,"T-33A","30"
"283","taiwan","1991","air force",NA,"aircraft",NA,"TRG",NA,"T-34C Turbo Mentor","42"
"284","thailand","1991","navy","naval aviation","helicopters",NA,"UTL",NA,"Bell 212","8"
"285","thailand","1991","navy","naval aviation","helicopters",NA,"UTL",NA,"Bell 212","8"
"286","philippines","1991","army",NA,"artillery",NA,"TOWED","105mm","M101/M102/M-26/M-56","230"
"287","philippines","1991","army",NA,"artillery",NA,"TOWED","155mm","M114/M-68","12"
"288","philippines","1991","army",NA,"artillery","MOR",NA,"107mm","M-30","40"
"289","philippines","1991","navy",NA,"patrol and coastal combatants",NA,"PCO",NA,"Rizal","2"
"290","philippines","1991","navy",NA,"patrol and coastal combatants",NA,"PCO",NA,"Miguel Malvar","5"
"291","philippines","1991","navy",NA,"patrol and coastal combatants",NA,"PCO",NA,"Magat Salamat","1"
"292","philippines","1991","navy",NA,"patrol and coastal combatants",NA,"PCC",NA,"Kagitingan","4"
"293","philippines","1991","navy","naval aviation","aircraft",NA,"MR/SAR",NA,"BN-2A Defender","5"
"294","philippines","1991","navy","naval aviation","aircraft",NA,"MR/SAR",NA,"Islander","1"
"295","philippines","1991","navy","naval aviation","helicopters",NA,"SAR",NA,"Bo-105","12"
"296","philippines","1991","navy","marines","armoured fighting vehicles",NA,"AAV",NA,"LVTP-5","30"
"297","philippines","1991","navy","marines","armoured fighting vehicles",NA,"AAV",NA,"LVTP-7","55"
"298","philippines","1991","navy","marines","artillery",NA,"TOWED","105mm","M101","150"
"299","philippines","1991","air force",NA,"aircraft",NA,"FTR",NA,"F-5A/B","9"
"300","philippines","1991","air force",NA,"aircraft",NA,"ATK/RECCE",NA,"T-28D","8"
"301","philippines","1991","air force",NA,"helicopters",NA,"MRH",NA,"Bell UH-1H/M","55"
"302","philippines","1991","air force",NA,"helicopters",NA,"TPT",NA,"AUH-76","16"
"303","philippines","1991","air force",NA,"aircraft",NA,"MR",NA,"F-27M","2"
"304","philippines","1991","air force",NA,"aircraft",NA,"ATK/RECCE",NA,"RT-33A","3"
"305","philippines","1991","air force",NA,"aircraft",NA,"SAR",NA,"UH-16","4"
"306","philippines","1991","air force",NA,"aircraft",NA,"SAR",NA,"Bo-105C","10"
"307","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"F-27","1"
"308","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"F-28","1"
"309","philippines","1991","air force",NA,"helicopters",NA,"UTL",NA,"Bell 212","1"
"310","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"S-70A","2"
"311","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"SA-330","2"
"312","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"C-130H","3"
"313","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"L-100-20","3"
"314","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"C-47","3"
"315","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"F-27-200","7"
"316","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"BN-2 Islander","10"
"317","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"N-22B Nomal Missionmaster","9"
